Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Baltimore Ravens,13,D,5000,BAL,@WAS,16.0,BAL by 13,3.3,0.6,0.8,157,109,16.6,9.0,12.3,12.3,12.3,7.7,17.0,11.0,2.2,6.0,1.2
Indianapolis Colts,4,D,4900,IND,@CHI,20.5,IND by 2.5,2.8,0.4,0.9,215,99,18.9,6.9,15.0,15.0,15.0,4.0,26.0,8.5,1.7,7.0,1.4
Los Angeles Rams,11,D,4800,LAR,NYG,17.5,LAR by 13,2.8,0.9,1.2,219,94,18.9,10.6,5.0,5.0,5.0,3.3,6.7,10.8,2.3,11.0,2.3
Tampa Bay Buccaneers,14,D,4700,TB,LAC,17.8,TB by 7,1.9,0.6,1.3,272,98,20.6,7.9,10.7,10.7,10.7,1.2,20.1,9.6,2.0,6.0,1.3
New Orleans Saints,1,D,4600,NO,@DET,25.0,NO by 4,3.1,0.4,0.9,239,104,21.1,7.9,6.0,6.0,6.0,-4.1,16.1,7.1,1.5,4.0,0.9
Pittsburgh Steelers,,D,4500,PIT,@TEN,22.5,PIT by 2,2.6,0.5,0.6,237,142,24.8,5.1,9.3,9.3,9.3,6.1,12.5,0.0,0.0,0.0,0.0
Buffalo Bills,1,D,4400,BUF,@LV,25.0,BUF by 3,1.7,0.8,0.3,251,122,21.3,6.1,5.0,5.0,5.0,2.0,8.0,6.1,1.4,6.0,1.4
Los Angeles Chargers,1,D,4300,LAC,@TB,24.8,TB by 7,2.6,0.8,1.8,303,90,27.5,9.8,6.0,6.0,6.0,1.6,10.4,5.6,1.3,4.0,0.9
Chicago Bears,2,D,4100,CHI,IND,23.0,IND by 2.5,1.8,0.6,0.8,207,127,21.8,6.9,6.7,6.7,6.7,1.9,11.4,6.2,1.5,2.0,0.5
Seattle Seahawks,2,D,4000,SEA,@MIA,23.0,SEA by 6.5,3.1,0.4,0.9,245,84,22.0,6.6,6.0,6.0,6.0,1.6,10.4,6.8,1.7,5.0,1.3
Cleveland Browns,0,D,3900,CLE,@DAL,30.3,DAL by 4.5,1.7,0.7,0.7,312,121,26.2,4.4,6.0,6.0,6.0,-1.2,13.2,4.5,1.2,5.0,1.3
Tennessee Titans,,D,3900,TEN,PIT,24.5,PIT by 2,2.1,0.8,1.1,193,105,18.8,8.3,5.0,5.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0
Arizona Cardinals,4,D,3800,ARI,@CAR,24.3,ARI by 3,3.6,0.8,1.4,231,111,20.1,10.8,6.3,6.3,6.3,3.8,8.8,7.2,1.9,1.0,0.3
Houston Texans,1,D,3700,HOU,MIN,24.8,HOU by 5,2.1,0.7,0.8,226,125,24.4,5.7,1.3,1.3,1.3,-0.2,2.9,6.0,1.6,2.0,0.5
Jacksonville Jaguars,1,D,3700,JAX,@CIN,26.3,CIN by 3,3.2,0.7,0.9,215,102,18.1,10.0,2.0,2.0,2.0,-1.5,5.5,6.3,1.7,2.0,0.5
Carolina Panthers,0,D,3600,CAR,ARI,27.3,ARI by 3,2.5,0.4,0.9,220,137,23.4,7.6,4.3,4.3,4.3,-1.8,10.4,5.7,1.6,3.0,0.8
Washington Redskins,,D,3500,WAS,BAL,29.0,BAL by 13,2.1,0.6,0.5,178,197,29.6,3.9,6.7,6.7,6.7,-0.7,14.0,3.7,1.1,4.0,1.1
Miami Dolphins,0,D,3500,MIA,SEA,29.5,SEA by 6.5,3.1,0.7,0.4,239,139,26.3,6.6,6.0,6.0,6.0,0.7,11.3,3.6,1.0,3.0,0.9
Cincinnati Bengals,2,D,3400,CIN,JAX,23.3,CIN by 3,2.9,0.7,0.6,234,110,18.8,8.4,2.7,2.7,2.7,-1.8,7.2,6.5,1.9,5.0,1.5
Dallas Cowboys,1,D,3400,DAL,CLE,25.8,DAL by 4.5,2.1,0.6,1.1,210,134,22.2,6.8,1.0,1.0,1.0,-2.6,4.6,5.7,1.7,-2.0,-0.6
Las Vegas Raiders,1,D,3300,LV,BUF,28.0,BUF by 3,2.7,0.5,0.6,219,119,21.2,6.5,0.7,0.7,0.7,-0.5,1.8,5.3,1.6,0.0,0.0
Minnesota Vikings,0,D,3300,MIN,@HOU,29.8,HOU by 5,3.1,0.6,1.0,238,116,22.2,7.7,1.0,1.0,1.0,-3.4,5.4,6.3,1.9,5.0,1.5
Detroit Lions,0,D,3200,DET,NO,29.0,NO by 4,1.6,0.1,0.3,268,110,28.4,2.3,1.7,1.7,1.7,-3.4,6.7,3.6,1.1,0.0,0.0
New York Giants,0,D,3000,NYG,@LAR,30.5,LAR by 13,1.3,0.4,1.0,290,102,23.8,6.4,3.7,3.7,3.7,-1.8,9.2,2.9,1.0,5.0,1.7
